recipe_id,measurement,measurement_unit,ingerdient,notes
2,2.0,Cup,Flour,Sifted
2,4.0,tsp,Cream of Tartar,
2,0.5,tsp,Salt,
2,2.0,tbsp,Sugar,
2,0.5,Cup,Shortening,Slightly less than 1/2 cup
2,1.0,,Egg,Unbeaten
2,0.66,Cup,Milk,
3,1.5,Cup,Sugar,
3,0.5,Cup,Crisco,
3,2.0,,Egg,
3,1.0,Cup,Sour Milk,
3,2.0,tbsp,Cocoa,Heaping
3,0.5,Cup,Hot Water,
3,2.0,Cup,Flour,
3,1.0,tsp,Soda,
3,1.0,tsp,Vanilla,
